cell_type	SRX_ID
Total white blood cells	SRX372044
Total white blood cells	SRX372045
Total white blood cells	SRX372046
B-cells	SRX372047
B-cells	SRX372048
B-cells	SRX372049
B-cells	SRX372050
B-cells	SRX372051
Granulocytes	SRX372052
Granulocytes	SRX372053
Granulocytes	SRX372054
Granulocytes	SRX372055
Granulocytes	SRX372056
Monocytes	SRX372057
Monocytes	SRX372058
Monocytes	SRX372059
Monocytes	SRX372060
Monocytes	SRX372061
T-cells	SRX372063
T-cells	SRX372064
T-cells	SRX372065
T-cells	SRX372066
T-cells	SRX372067
